name,age,years_played,games_played,avg_qbr,std_qbr,avg_cmp,std_cmp,avg_att,std_att,avg_pct,std_pct,avg_pyds,std_pyds,avg_ypa,std_ypa,avg_TD,std_TD,avg_INT,std_INT,avg_SACK,std_SACK,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,ADP,class
kirk-cousins,31,8,15,105.13333333333334,29.632902134095616,21.4,6.580780095601636,31.733333333333334,8.820178884555322,67.50666666666666,8.381365574230067,257.3333333333333,58.12362304223263,8.499999999999998,2.163638910108,2.1333333333333333,0.9568466729604882,0.8666666666666667,1.024152766382481,2.4,1.3063945294843615,1.8,1.6812693617224659,10.333333333333334,13.184165586878155,3.2399999999999998,3.4476658770826387,5.6,5.874237539176184,0.0,0.0,176.0,2
matt-ryan,35,12,15,92.07333333333331,25.721805708170816,25.2,5.5641710972974225,38.8,5.8560510015994,64.84,9.264181921069268,287.73333333333335,65.88319630646008,7.419999999999999,1.2243093291049174,1.6,1.3564659966250536,0.7333333333333333,0.8537498983243799,2.6666666666666665,1.6599866130651644,1.7333333333333334,1.6918103387266026,6.066666666666666,8.127867015535024,2.5866666666666664,4.240890891729656,4.266666666666667,5.531324936717744,0.06666666666666667,0.24944382578492946,153.0,2
derek-carr,29,6,15,101.94666666666667,15.738100972551369,21.6,7.246148402197313,31.933333333333334,10.08937835327606,66.97333333333333,5.934022431894088,248.8,89.81328780679766,7.913333333333333,1.6684790146184703,1.6666666666666667,1.07496769977314,0.4666666666666667,0.618241233033047,1.5333333333333334,1.1469767022723503,2.466666666666667,1.6275407487644937,9.266666666666667,10.859506843724024,2.9733333333333336,3.0273127063820513,5.8,5.15363949069005,0.2,0.4,184.0,2
ben-roethlisberger,38,15,14,94.17142857142858,19.25473702648737,26.071428571428573,6.005524667388541,39.92857142857143,8.302015983347365,65.26428571428572,6.432907267975138,247.28571428571428,54.11948232704133,6.278571428571428,0.9813828228056365,2.142857142857143,0.832993127835043,0.7142857142857143,0.8806305718527108,0.8571428571428571,0.832993127835043,1.6428571428571428,1.3942300925673667,0.8571428571428571,3.5828389154241296,0.5642857142857142,2.32274687842315,1.5714285714285714,3.5196242842156913,0.0,0.0,159.0,2
cam-newton,31,8,14,76.21428571428571,25.9272845017108,15.785714285714286,7.143214276786161,24.142857142857142,9.560761646715502,64.06428571428572,8.784207187809686,172.5,103.11557316221167,6.671428571428572,1.724375071657875,0.35714285714285715,0.47915742374995485,0.7142857142857143,0.9583148474999097,2.0,1.1338934190276817,9.0,3.295017884191656,36.642857142857146,21.124147126848335,4.014285714285714,1.7270359177574999,13.0,8.392173224414009,0.8571428571428571,0.832993127835043,229.0,1
matthew-stafford,32,11,15,94.51333333333332,16.42501615084611,21.266666666666666,5.9606114526018965,33.13333333333333,9.1204288398201,64.5,6.232923337674975,252.73333333333332,84.66913382232171,7.480000000000001,1.1702991070662234,1.5333333333333334,1.024152766382481,0.6,0.6110100926607787,2.466666666666667,1.7461067804945059,1.8,1.641137816678823,6.866666666666666,7.579504527928516,3.313333333333333,3.512049101150052,5.933333333333334,5.7092517509351035,0.0,0.0,93.0,2
baker-mayfield,25,2,15,95.34666666666666,27.930505823481887,19.2,5.912698199637793,30.6,9.631891472256804,63.19333333333332,10.19067983775153,224.46666666666667,73.9232635162226,7.486666666666667,1.898373572883436,1.6666666666666667,1.398411797560202,0.5333333333333333,0.7180219742846006,1.4666666666666666,1.359738536958076,3.2,1.6,8.066666666666666,8.34638977176493,2.42,2.319540184318148,5.6,3.912373533632323,0.06666666666666667,0.24944382578492943,126.0,2
jared-goff,25,4,14,93.7357142857143,22.270980706575383,24.714285714285715,6.963461489687966,36.357142857142854,9.66294204575355,68.13571428571429,7.987455087542602,265.57142857142856,70.25739847742959,7.442857142857143,1.6838367267787515,1.4285714285714286,0.9793792286287207,0.8571428571428571,0.7423074889580902,1.4285714285714286,0.9035079029052513,3.142857142857143,1.8844151368961313,5.428571428571429,5.653245410688394,2.292857142857143,3.206570104759086,4.857142857142857,3.7958086444532633,0.2857142857142857,0.45175395145262565,208.0,2
teddy-bridgewater,27,5,14,93.94285714285714,18.956254689065947,23.357142857142858,6.0781475427156595,33.5,7.0381612858554385,69.56428571428572,8.657911917749578,254.07142857142858,57.435012076649706,7.592857142857143,0.9043263362575367,1.0714285714285714,0.7985957062499249,0.6428571428571429,0.7178482586514923,2.142857142857143,1.6413036132965795,3.5714285714285716,2.025349554108261,19.428571428571427,12.87142064372675,5.328571428571428,2.8151195284008232,9.571428571428571,5.066899385990913,0.35714285714285715,0.4791574237499549,206.0,0
carson-wentz,27,4,11,73.43636363636364,9.825779888295033,22.272727272727273,3.7921188390207656,38.36363636363637,6.314092856067396,58.11818181818182,3.1379837712710255,231.0,54.79216931443597,6.036363636363637,1.14198609072307,1.4545454545454546,0.7820295697311479,1.3636363636363635,0.7713892158398701,4.181818181818182,2.0368505911280073,4.454545454545454,2.3496087242400154,23.454545454545453,20.18714098521692,4.6000000000000005,2.6153393661244047,11.909090909090908,11.106546353427174,0.45454545454545453,0.49792959773196915,211.0,3
daniel-jones,23,1,13,79.03846153846153,11.831544437941409,20.23076923076923,4.725606939510052,32.53846153846154,7.121099576020379,62.092307692307685,5.707412392058046,208.76923076923077,47.45711237309851,6.430769230769231,0.894757909144329,0.6923076923076923,0.8213137116947162,0.6923076923076923,0.7216024245882199,3.3076923076923075,1.7709022204955907,4.3076923076923075,2.4300875382971254,31.23076923076923,29.797144535763948,6.199999999999999,6.204588872513882,19.46153846153846,22.106787626690533,0.07692307692307693,0.26646935501059654,196.0,3
joe-burrow,23,0,9,88.32222222222222,16.52000657638945,26.88888888888889,5.820355934981687,41.111111111111114,8.412219213665644,65.46666666666667,6.197131953125126,276.1111111111111,68.29420740759862,6.744444444444444,1.258845247846093,1.3333333333333333,1.1547005383792515,0.5555555555555556,0.4969039949999533,3.5555555555555554,2.454524670486058,3.888888888888889,2.5141574442188355,14.444444444444445,15.137232325267913,2.5555555555555554,2.2076186824072628,7.444444444444445,6.945999825816792,0.3333333333333333,0.4714045207910317,122.0,0
sam-darnold,23,2,11,71.69999999999999,20.81419969854496,17.636363636363637,3.4973425566675176,30.0,5.239708527632568,58.74545454545454,5.757424240430569,176.54545454545453,34.28586678439127,5.936363636363637,1.0119941854600543,0.7272727272727273,0.7496555682941201,0.8181818181818182,1.0285189544531599,2.909090909090909,1.6211413181933643,3.272727272727273,2.1780270092201706,19.454545454545453,21.968422115571567,5.045454545454546,3.498405776236743,11.090909090909092,11.87399408527687,0.18181818181818182,0.38569460791993493,218.0,3
tua-tagovailoa,22,0,9,92.3,14.650748938004652,16.77777777777778,7.524445757038673,25.77777777777778,12.025692659910169,68.89999999999999,13.763881881375053,161.44444444444446,99.1285485407835,5.855555555555555,1.618031115695253,1.1111111111111112,0.7370277311900889,0.2222222222222222,0.41573970964154905,2.111111111111111,1.9688939051854832,3.3333333333333335,2.4037008503093262,9.0,11.944315244779277,1.8333333333333333,1.9573224341204265,5.111111111111111,5.086899174337598,0.3333333333333333,0.6666666666666666,145.0,2
dak-prescott,26,4,4,102.1,9.14248325128354,34.25,5.889609494694874,50.25,7.790218225441442,68.0,3.556683848755748,422.5,92.22120146690781,8.35,1.0111874208078342,2.25,1.299038105676658,0.75,0.82915619758885,2.25,0.82915619758885,4.0,1.5811388300841898,21.5,6.98212002188447,5.975,2.48231242997331,10.75,1.0897247358851685,0.75,1.299038105676658,51.0,0
jalen-hurts,21,0,14,45.642857142857146,47.24572111064986,5.0,8.383657572069263,9.142857142857142,15.431216704446602,36.19285714285714,40.07096320076091,70.64285714285714,119.9860748723172,4.585714285714286,5.328475678955896,0.42857142857142855,0.82065180664829,0.21428571428571427,0.5578749768504754,0.8571428571428571,1.7670452681218545,3.9285714285714284,5.077461200727973,22.857142857142858,32.084391271540525,3.685714285714286,3.603541342080264,8.857142857142858,8.601138984851639,0.07142857142857142,0.25753937681885636,97.0,4
